sentence,label
mr. day-lewis roars with leonine power,1
"a fairly slow paced , almost humdrum approach to character development",0
it 's not very interesting .,0
"where uptight , middle class bores like antonia can feel good about themselves",0
everywhere will forgive the flaws and love the film .,1
yarns ever,1
"jaw-dropping action sequences , striking villains , a gorgeous color palette , astounding technology , stirring music and",1
a puzzle whose pieces do not fit .,0
a lovely film for the holiday season,1
"stale first act , scrooge story",0
shot on digital videotape rather than film,0
"to call this one an eventual cult classic would be an understatement , and woe is the horror fan who opts to overlook this goofily endearing and well-lensed gorefest .",1
", sometimes beautiful adaptation",1
"it 's far from a frothy piece , and the characters are complex , laden with plenty of baggage and tinged with tragic undertones .",1
found it weirdly appealing,1
animation increasingly emphasizes the computer and the cool,1
"a graceful , moving tribute to the courage of new york 's finest and a nicely understated expression of the grief shared by the nation at their sacrifice .",1
a crowdpleaser as,1
not well-acted,0
the muck,0
"when compared to the usual , more somber festival entries , davis ' highly personal brand of romantic comedy is a tart , smart breath of fresh air",1
"know if it wants to be a retro-refitting exercise in campy recall for older fans or a silly , nickelodeon-esque kiddie flick",0
degenerates,0
if you open yourself up to mr. reggio 's theory of this imagery as the movie 's set ... it can impart an almost visceral sense of dislocation and change .,1
"served by the movie 's sophomoric blend of shenanigans and slapstick , although the more lascivious-minded might be disappointed in the relative modesty of a movie that sports a ` topless tutorial service",0
"( n ) o matter how much good will the actors generate , showtime eventually folds under its own thinness .",0
perfected,1
love reading and/or poetry,1
created a substantive movie,1
her defiance,1
"smart and alert , thirteen conversations about one thing is a small gem .",1
", a warm , fuzzy feeling prevails",1
bold colors,1
a terrific effort,1
afraid of the bad reviews,0
life 's ultimate losers,0
"the characters seem one-dimensional ,",0
do n't have a clue on the park .,0
well to cram earplugs,0
bring their characters to life .,1
a summer of good stuff,1
the movie does such an excellent job of critiquing itself at every faltering half-step of its development that criticizing feels more like commiserating .,0
an affected malaise,0
a solid and refined piece,1
is a film -- full of life and small delights -- that has all the wiggling energy of young kitten .,1
is frequently overwrought and crudely literal,0
i become very involved in the proceedings ; to me,1
just the labor involved in creating the layered richness of the imagery in this chiaroscuro of madness and light,1
"feels like a teenybopper ed wood film , replete with the pubescent scandalous innuendo and the high-strung but flaccid drama",0
) best works understand why snobbery is a better satiric target than middle-america,0
", his little changes ring hollow",0
are so spot on,1
plummets,0
"the audacity to view one of shakespeare 's better known tragedies as a dark comedy is , by itself , deserving of discussion .",0
"it must be labeled ` hip ' , ` innovative ' and ` realistic '",1
drama that takes itself all too seriously,0
a strong pulse,1
most of the problems with the film,0
a heavy-handed indictment,0
the movie grows boring despite the scenery .,0
maybe `` how will you feel after an 88-minute rip-off of the rock with action confined to slo-mo gun firing and random glass-shattering ? '',0
a grim future that does n't come close to the level of intelligence and visual splendor that can be seen in other films,0
feeble comedy .,0
"the sight of the spaceship on the launching pad is duly impressive in imax dimensions , as are shots of the astronauts floating in their cabins .",1
"just bring on the battle bots , please !",1
is too much of a plunge,0
tries to cram too many ingredients into one small pot,0
various sources,1
be depressing,0
gripping documentary,1
by a warmth that is n't faked,1
stiff or just plain bad,0
he has at least one more story to tell : his own .,1
could n't have done any better in bringing the story of spider-man to the big screen,1
takashi miike keeps pushing the envelope : ichi the killer,1
with flashbulb editing as cover for the absence of narrative continuity,0
ultimate point -- that everyone should be themselves --,1
to the core in a film you will never forget -- that you should never forget,1
"do cliches , no matter how ` inside ' they are",0
dangerous and domineering,0
that you 'll want to crawl up your own *** in embarrassment,0
ca n't even do that much,0
being able to tear their eyes away from the screen,1
as katzenberg,1
gussied up with so many distracting special effects and visual party tricks that it 's not clear whether we 're supposed to shriek or laugh .,0
", the movie will likely set the cause of woman warriors back decades .",0
liked it just enough,1
does n't bode well for the rest of it,0
circuit is the awkwardly paced soap opera-ish story .,0
laughs,1
not a bad way to spend an hour or two,1
occasionally fun,1
subtlest works,1
such a mechanical endeavor (,1
indoors in formal settings with motionless characters,0
cheap scam,0
murder hits and generally sustains a higher plateau with bullock 's memorable first interrogation of gosling .,1
bliss,1
"'re over 25 , have an iq over 90 , and have a driver 's license",0
one of the best actors there is,1
"at three hours and with very little story or character development , there is plenty of room for editing , and a much shorter cut surely would have resulted in a smoother , more focused narrative without sacrificing any of the cultural intrigue .",0
it just did n't mean much to me and played too skewed to ever get a hold on ( or be entertained by ),0
` matrix ' - style massacres erupt throughout ... but the movie has a tougher time balancing its violence with kafka-inspired philosophy .,0
the big ending surprise,1
bright future,1
good yarn-spinner,1
are beautiful,1
"comes along that is so insanely stupid , so awful in so many ways that watching it leaves you giddy .",0
satisfying destination,1
does n't really care about the thousands of americans who die hideously,0
the level of marginal competence,0
this dog of a movie,0
a soul-stirring documentary about the israeli/palestinian conflict as revealed through the eyes of some children who remain curious about each other against all odds .,1
it 's depressing to see how far herzog has fallen .,0
appeal,1
"he 's going to make a splash even greater than arnold schwarzenegger , jean-claud van damme or steven segal",1
"unless bob crane is someone of particular interest to you , this film 's impressive performances and adept direction are n't likely to leave a lasting impression .",0
discloses almost nothing,0
the milieu is wholly unconvincing ...,0
that affirms the nourishing aspects of love and companionship,1
"a tired , unnecessary retread ... a stale copy of a picture that was n't all that great to begin with",0
tick-tock pacing,0
"bittersweet comedy/drama full of life , hand gestures , and some",1
"blessed with a searing lead performance by ryan gosling ( murder by numbers ) , the movie is powerful and provocative .",1
"one of the funniest motion pictures of the year , but ... also one of the most curiously depressing",1
a more graceful way,1
you want the story to go on and on,1
a major opportunity to be truly revelatory about his psyche,1
is n't very bright,0
of the rare directors who feels acting is the heart and soul of cinema,1
so downbeat and nearly humorless,0
to slap her creators because they 're clueless and inept,0
this strangely schizo cartoon,0
"blue crush , a late-summer surfer girl entry , should be as entertaining as it is",1
"it deserved all the hearts it won -- and wins still , 20 years later .",1
the entire movie is in need of a scented bath .,0
that shows the promise of digital filmmaking,1
"find an escape clause and avoid seeing this trite , predictable rehash .",0
an infinitely wittier version of the home alone formula .,1
"brash , intelligent and erotically perplexing , haneke 's portrait of an upper class austrian society and the suppression of its tucked away demons",1
some savvy producer,1
luminous interviews,1
chopsocky,0
"the movie 's ultimate point -- that everyone should be themselves -- is trite , but the screenwriter and director michel gondry restate it to the point of ridiculousness .",0
remember it .,1
"max pokes , provokes , takes expressionistic license and hits a nerve ... as far as art is concerned , it 's mission accomplished",1
with a massive infusion of old-fashioned hollywood magic,1
", one would be hard-pressed to find a movie with a bigger , fatter heart than barbershop .",1
of ( woo 's ) best work,1
find much fascination in the swinging,1
"phillip noyce and all of his actors -- as well as his cinematographer , christopher doyle -- understand the delicate forcefulness of greene 's prose , and it 's there on the screen in their version of the quiet american .",1
"stands as one of the year 's most intriguing movie experiences , letting its imagery speak for it while it forces you to ponder anew what a movie can be .",1
"... pitiful , slapdash disaster .",0
also has many of the things that made the first one charming .,1
seem like something to endure instead of enjoy,0
"is hugely overwritten , with tons and tons of dialogue -- most of it given to children .",0
